,id,current_viewers,created_at,followers,total_views,streamer_id,category_id
0,1,6,2018-03-03 13:38:11,333,13542,1,10
1,2,2,2018-03-03 13:38:11,19,265,2,10
2,3,7,2018-03-03 13:38:11,241,2194,3,10
3,4,3,2018-03-03 13:38:11,302,6444,4,10
4,5,4,2018-03-03 13:38:11,16,1069,5,10
5,6,9,2018-03-03 13:38:11,1785,49099,6,10
6,7,0,2018-03-03 13:38:11,34,551,7,10
7,8,1,2018-03-03 13:38:11,3,31,8,10
8,9,1,2018-03-03 13:38:11,8,201,9,10
9,10,3,2018-03-03 13:38:11,102,4141,10,10
10,11,0,2018-03-03 13:38:11,18,296,11,10
11,12,0,2018-03-03 13:38:11,12,174,12,10
12,13,0,2018-03-03 13:38:11,35,682,13,10
13,14,1,2018-03-03 13:38:11,66,1599,14,10
14,15,0,2018-03-03 13:38:11,46,1732,15,10
15,16,0,2018-03-03 13:38:11,77,2871,16,10
16,17,0,2018-03-03 13:38:11,11,35,17,10
17,18,5,2018-03-03 13:38:11,142,2902,18,10
18,19,0,2018-03-03 13:38:11,6,55,19,10
19,20,5,2018-03-03 13:38:11,112,4328,20,10
20,21,5,2018-03-03 13:38:11,68,2094,21,10
21,22,1,2018-03-03 13:38:11,35,722,22,10
22,23,5,2018-03-03 13:38:11,35,1643,23,10
23,24,2,2018-03-03 13:38:11,4,1818,24,10
24,25,12,2018-03-03 13:38:11,849,4257,25,10
25,26,3,2018-03-03 13:38:11,74,1331,26,10
26,27,2,2018-03-03 13:38:11,1971,31556,27,10
27,28,0,2018-03-03 13:38:11,3,1,28,10
28,29,4,2018-03-03 13:38:11,238,5421,29,10
29,30,1,2018-03-03 13:38:11,60,564,30,10
30,31,0,2018-03-03 13:38:11,64,800,31,10
31,32,3,2018-03-03 13:38:11,13,1526,32,10
32,33,1,2018-03-03 13:38:11,27,2011,33,10
33,34,4,2018-03-03 13:38:11,16,194,34,10
34,35,5,2018-03-03 13:38:11,721,11568,35,10
35,36,1,2018-03-03 13:38:11,24,646,36,10
36,37,2,2018-03-03 13:38:11,16,398,37,10
37,38,5,2018-03-03 13:38:11,234,2421,38,10
38,39,9,2018-03-03 13:38:11,2420,48517,39,10
39,40,3,2018-03-03 13:38:11,114,1595,40,10
40,41,0,2018-03-03 13:38:11,34,651,41,10
41,42,5,2018-03-03 13:38:11,90,1724,42,10
42,43,1,2018-03-03 13:38:11,31,2572,43,10
43,44,0,2018-03-03 13:38:11,28,1750,44,10
44,45,1,2018-03-03 13:38:11,12,618,45,10
45,46,3,2018-03-03 13:38:11,356,3118,46,10
46,47,1,2018-03-03 13:38:11,12,288,47,10
47,48,0,2018-03-03 13:38:11,3,5,48,10
48,49,2,2018-03-03 13:38:11,8,216,49,10
49,50,2,2018-03-03 13:38:11,248,5585,50,10
50,51,1,2018-03-03 13:38:11,10,95,51,10
51,52,3,2018-03-03 13:38:11,60,4985,52,10
52,53,3,2018-03-03 13:38:11,169,8924,53,10
53,54,290,2018-03-03 13:38:11,86775,843048,54,10
54,55,0,2018-03-03 13:38:11,1,0,55,10
55,56,1,2018-03-03 13:38:11,793,16084,56,10
56,57,8,2018-03-03 13:38:11,1026,6886,57,10
57,58,6,2018-03-03 13:38:11,1029,24630,58,10
58,59,6,2018-03-03 13:38:11,93,1565,59,10
59,60,3,2018-03-03 13:38:11,100,2623,60,10
60,61,9,2018-03-03 13:38:11,1503,19233,61,10
61,62,5,2018-03-03 13:38:11,3,2,62,10
62,63,1,2018-03-03 13:38:11,12,103,63,10
63,64,0,2018-03-03 13:38:11,229,1648,64,10
64,65,2,2018-03-03 13:38:11,49,1199,65,10
65,66,11,2018-03-03 13:38:11,4194,81334,66,10
